,Bin input uns,Bin input,Bin output,Bin sim. output
0,70.0,70.0,0.0,0.0
1,58.0,58.0,0.0,0.0
2,65.0,65.0,64.0,63.0
3,65.0,65.0,63.0,63.0
4,58.0,58.0,63.0,62.0
5,69.0,69.0,64.0,63.0
6,57.0,57.0,62.0,62.0
7,65.0,65.0,63.0,62.0
8,64.0,64.0,62.0,62.0
9,57.0,57.0,61.0,61.0
10,68.0,68.0,62.0,62.0
11,56.0,56.0,61.0,60.0
12,63.0,63.0,61.0,60.0
13,62.0,62.0,60.0,60.0
14,55.0,55.0,59.0,59.0
15,65.0,65.0,60.0,59.0
16,53.0,53.0,58.0,57.0
17,60.0,60.0,58.0,57.0
18,58.0,58.0,57.0,57.0
19,52.0,52.0,56.0,56.0
20,62.0,62.0,56.0,56.0
21,49.0,49.0,54.0,54.0
22,57.0,57.0,54.0,54.0
23,54.0,54.0,53.0,53.0
24,47.0,47.0,52.0,51.0
25,58.0,58.0,52.0,51.0
26,45.0,45.0,50.0,50.0
27,52.0,52.0,49.0,49.0
28,49.0,49.0,48.0,48.0
29,43.0,43.0,47.0,46.0
30,52.0,52.0,47.0,46.0
31,39.0,39.0,44.0,44.0
32,47.0,47.0,44.0,44.0
33,44.0,44.0,43.0,42.0
34,37.0,37.0,41.0,41.0
35,47.0,47.0,41.0,40.0
36,33.0,33.0,38.0,38.0
37,41.0,41.0,38.0,37.0
38,37.0,37.0,36.0,36.0
39,31.0,31.0,35.0,34.0
40,40.0,40.0,34.0,34.0
41,26.0,26.0,32.0,31.0
42,34.0,34.0,31.0,30.0
43,30.0,30.0,30.0,29.0
44,24.0,24.0,28.0,27.0
45,33.0,33.0,27.0,27.0
46,19.0,19.0,25.0,24.0
47,27.0,27.0,24.0,23.0
48,23.0,23.0,22.0,22.0
49,17.0,17.0,20.0,20.0
50,25.0,25.0,20.0,19.0
51,12.0,12.0,17.0,17.0
52,20.0,20.0,16.0,16.0
53,15.0,15.0,14.0,14.0
54,9.0,9.0,13.0,12.0
55,17.0,17.0,12.0,11.0
56,4.0,4.0,9.0,9.0
57,12.0,12.0,8.0,8.0
58,7.0,7.0,7.0,6.0
59,1.0,1.0,5.0,4.0
60,9.0,9.0,4.0,3.0
61,253.0,-3.0,1.0,1.0
62,4.0,4.0,0.0,0.0
63,255.0,-1.0,-1.0,-1.0
64,250.0,-6.0,-2.0,-3.0
65,1.0,1.0,-3.0,-4.0
66,245.0,-11.0,-6.0,-6.0
67,253.0,-3.0,-7.0,-7.0
68,247.0,-9.0,-9.0,-9.0
69,242.0,-14.0,-10.0,-11.0
70,250.0,-6.0,-11.0,-12.0
71,237.0,-19.0,-14.0,-14.0
72,245.0,-11.0,-15.0,-15.0
73,239.0,-17.0,-16.0,-17.0
74,235.0,-21.0,-18.0,-19.0
75,242.0,-14.0,-19.0,-20.0
76,229.0,-27.0,-22.0,-22.0
77,238.0,-18.0,-22.0,-23.0
78,231.0,-25.0,-24.0,-25.0
79,227.0,-29.0,-26.0,-26.0
80,235.0,-21.0,-26.0,-27.0
81,221.0,-35.0,-29.0,-30.0
82,230.0,-26.0,-29.0,-30.0
83,224.0,-32.0,-31.0,-32.0
84,220.0,-36.0,-33.0,-33.0
85,228.0,-28.0,-34.0,-34.0
86,214.0,-42.0,-36.0,-36.0
87,224.0,-32.0,-36.0,-37.0
88,217.0,-39.0,-38.0,-38.0
89,214.0,-42.0,-40.0,-40.0
90,221.0,-35.0,-40.0,-41.0
91,208.0,-48.0,-42.0,-43.0
92,218.0,-38.0,-43.0,-43.0
93,211.0,-45.0,-44.0,-44.0
94,208.0,-48.0,-45.0,-46.0
95,215.0,-41.0,-46.0,-47.0
96,202.0,-54.0,-48.0,-49.0
97,212.0,-44.0,-48.0,-49.0
98,205.0,-51.0,-50.0,-50.0
99,203.0,-53.0,-51.0,-51.0
100,210.0,-46.0,-51.0,-52.0
101,197.0,-59.0,-53.0,-54.0
102,207.0,-49.0,-53.0,-54.0
103,201.0,-55.0,-54.0,-55.0
104,198.0,-58.0,-55.0,-56.0
105,206.0,-50.0,-55.0,-56.0
106,193.0,-63.0,-57.0,-57.0
107,204.0,-52.0,-57.0,-57.0
108,197.0,-59.0,-58.0,-58.0
109,195.0,-61.0,-59.0,-59.0
110,202.0,-54.0,-59.0,-59.0
111,190.0,-66.0,-60.0,-61.0
112,201.0,-55.0,-60.0,-60.0
113,194.0,-62.0,-61.0,-61.0
